upc,category,unit_label,name,threshold,reorder_amount,image
000000000000,Bleeding,Container of,Sterile Water (250mL),25,50,https://rescue-essentials.com/cdn/shop/files/61-2223-Sterile-Water-for-Irrigation-250mL-hand__08152.1717514537.1280.1280.jpg?v=1774439779&width=1280
000000000017,Bleeding,Package of,Combine Pad - 5x9,100,200,https://firstaidsuppliesonline.com/wp-content/uploads/2021/10/IMG_3509.jpg
000000000024,Bleeding,Package of,Gauze Pad - 4x4,500,1000,https://cdn11.bigcommerce.com/s-tumf4kk1l4/images/stencil/1280x1280/products/3394/6183/dynarex-sterile-gauze-pads-4-x-4-100-pack-17__83064.1640715500.jpg?c=1?imbypass=on
000000000031,Bleeding,Package of,Multi-Trauma Dressing - 12x30,20,40,https://firstaidsuppliesonline.com/wp-content/uploads/2017/12/p-16607-061967_multiTraumaDressing_10x30.jpg
000000000048,Bleeding,Package of,Chest Seal,20,40,https://m.media-amazon.com/images/I/81VlcPFoBWL.jpg
000000000055,Bleeding,Package of,"Roller Gauze - 2""",60,120,https://firstaidsuppliesonline.com/wp-content/uploads/2022/04/05-1820-Dynarex-Front.png
000000000062,Bleeding,Package of,"Roller Gauze - 4""",60,120,https://firstaidsuppliesonline.com/wp-content/uploads/2022/04/05-1840-Dynarex-Front.png
000000000079,Bleeding,Each,Tourniquet,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/C-A-T%20Tourniquet.jpg
000000000086,Bleeding,Box of,Band-Aids,3,6,https://veralph.com/contentonly.aspx?file=images/subcategory/Dynarex%20Sheer%20Plastic.jpg
000000000093,Tape,Roll of,"Clear Tape - 1""",10,20,https://cdn.shopify.com/s/files/1/1812/6055/products/3572_500x.jpg?v=1543877019
000000000109,Glucose,Individual,Lancet,10,20,https://images-na.ssl-images-amazon.com/images/I/41bl36MUTlL.AC_.jpg
000000000116,Glucose,Bottle of,Glucometer Test Strips,10,20,https://theemssuperstore.com/wp-content/uploads/2019/07/4386.jpg
000000000123,Tape,Roll of,"Cloth Tape - 2""",10,20,https://cdn.shopify.com/s/files/1/1812/6055/products/3563_500x.jpg?v=1543877185
000000000130,Tape,Roll of,"Cloth Tape - 3""",10,20,https://cdn.shopify.com/s/files/1/1812/6055/products/3564_500x.jpg?v=1543877195
000000000147,Oral Airway,Each,Pink Oral Airway - 40mm,5,8,https://cdn.mysagestore.com/e795745c6a03d6dde051c5f1393dbe3d/contents/EM84054717/EM84054717.jpg
000000000154,Oral Airway,Each,Blue Oral Airway - 50mm,5,8,https://www.henryschein.com/Products/8264013_US_front_01_600x600.jpg
000000000161,Oral Airway,Each,Black Oral Airway - 60mm,10,15,https://mainlinemedical.com/wp-content/uploads/1-2450-01_Web-2.jpg
000000000178,Oral Airway,Each,White Oral Airway - 70mm,10,15,https://medicalmonks.com/wp-content/uploads/2019/01/medline_DYND60420.jpg
000000000185,Oral Airway,Each,Green Oral Airway - 80mm,10,15,https://m.media-amazon.com/images/I/61DK4hZuHgL._SL1500_.jpg
000000000192,Oral Airway,Each,Yellow Oral Airway - 90mm,10,15,https://m.media-amazon.com/images/I/51r6eGLHo6L.jpg
000000000208,Oral Airway,Each,Red Oral Airway - 100mm,10,15,https://m.media-amazon.com/images/I/617JQC3BuAL._SL1500_.jpg
000000000215,Oral Airway,Each,Orange Oral Airway - 110mm,5,8,https://cdn11.bigcommerce.com/s-xe1mvjh/images/stencil/1280x1280/products/1275/5039/Berman_Airway_6__27175.1611765065.png?c=2
000000000222,Oral Airway,Container of,Complete Kit,5,8,https://veralph.com/contentonly.aspx?file=images/subcategory/Berman%20Oral%20Airways.jpg
000000000239,Nasal Airway,Each,Nasal Airway - 20Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000246,Nasal Airway,Each,Nasal Airway - 22Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000253,Nasal Airway,Each,Nasal Airway - 24Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000260,Nasal Airway,Each,Nasal Airway - 26Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000277,Nasal Airway,Each,Nasal Airway - 28Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000284,Nasal Airway,Each,Nasal Airway - 30Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000291,Nasal Airway,Each,Nasal Airway - 32Fr,10,15,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000307,Nasal Airway,Each,Nasal Airway - 34Fr,5,8,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000314,Nasal Airway,Each,Nasal Airway - 36Fr,5,8,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/5916/12224/IMG_7581_23__01763.1737401626.jpg?c=1
000000000321,Nasal Airway,Pairs of,Surgi-Lube,20,40,https://veralph.com/contentonly.aspx?file=images/subcategory/DynaLube%20Lubricant.jpg
000000000338,Other Airway,Each,NRB - Adult,50,100,https://veralph.com/contentonly.aspx?file=images/subcategory/Non-Rebreathing%20Mask.jpg
000000000345,Other Airway,Each,NRB - Child,25,50,https://www.mountainside-medical.com/cdn/shop/products/non-rebreathing-pediatric-oxygen-mask__46052.jpeg?v=1703611536
000000000352,Other Airway,Each,NRB - Infant,10,20,https://veralph.com/contentonly.aspx?file=images/subcategory/Infant%20Non-Rebreather.jpg
000000000369,Other Airway,Each,NC - Adult,50,100,https://veralph.com/contentonly.aspx?file=images/subcategory/Hudson%201104%20Adult%20Cannula.jpg
000000000376,Other Airway,Each,NC - Child,25,50,https://veralph.com/contentonly.aspx?file=images/subcategory/Hudson%201104%20Adult%20Cannula.jpg
000000000383,Other Airway,Each,BVM - Adult,15,30,https://veralph.com/contentonly.aspx?file=images/subcategory/Laerdal%20The%20BAG%20II%20Disposable.jpg
000000000390,Other Airway,Each,BVM - Child,10,20,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/1280x1280/products/6779/11319/Screenshot2023-07-22090458__62364.1737401642.png?c=1
000000000406,Other Airway,Each,BVM - Infant,5,10,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/1280x1280/products/2868/9625/2023-04-25_2__27807.1737401576.png?c=1
000000000413,Other Airway,Each,HEPA Filter,5,10,https://www.vitalitymedical.com/media/catalog/product/cache/f9c40fdbf5a92fa50ec1b66f4237b489/a/i/airlife_disposable_bacteria_filter.png
000000000420,Other Airway,Each,PEEP Valve,5,10,https://ae01.alicdn.com/kf/H71f032dc6ac84f38be3f7f91ff38245fh.jpg?width=1200&height=1200&hash=2400
000000000437,Other Airway,Each,CPAP,3,6,https://veralph.com/contentonly.aspx?file=images/subcategory/Mercury%20Medical%20Flow-Safe%20II.jpg
000000000444,Other Airway,Each,CPAP Filter,3,6,https://d3ou4hcduhj10y.cloudfront.net/i/9228022.jpg
000000000451,Suction,Package of,Yankauer Set,20,40,https://veralph.com/contentonly.aspx?file=images/subcategory/Yankauer%20Suction%20Catheter.jpg
000000000468,Suction,Each,French Catheter - 6Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000475,Suction,Each,French Catheter - 8Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000482,Suction,Each,French Catheter - 10Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000499,Suction,Each,French Catheter - 12Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000505,Suction,Each,French Catheter - 14Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000512,Suction,Each,French Catheter - 16Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000529,Suction,Each,French Catheter - 18Fr,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Touch%20Control%20Suction%20Catheter.jpg
000000000536,Suction,Both,Suction Container and Lid,20,40,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Canisters.jpg
000000000543,Gloves/Masks,Box of,Gloves - Small,10,20,https://www.aedsuperstore.com/assets/images/FAE-6102.jpg
000000000550,Gloves/Masks,Box of,Gloves - Medium,20,40,https://www.aedsuperstore.com/assets/images/FAE-6102.jpg
000000000567,Gloves/Masks,Box of,Gloves -  Large,20,40,https://www.aedsuperstore.com/assets/images/FAE-6102.jpg
000000000574,Gloves/Masks,Box of,Gloves - X-Large,10,20,https://www.aedsuperstore.com/assets/images/FAE-6102.jpg
000000000581,Gloves/Masks,Each,Surgical Mask,500,1000,https://www.narescue.com/media/catalog/product/cache/6c9c2a8706ce872329c582c5a62c8bc4/z/z/zz-1325_f.jpg
000000000598,Gloves/Masks,Each,N95 Mask,150,300,https://veralph.com/contentonly.aspx?file=images/subcategory/3M%20N95%20Particulate%20Respirator.jpg
