id,date_raw,upc,transfer_type,number,timestamp,operation_type,from_storage,to_storage,storage
408,7/6/2022 14:22:00,000000000536,RECOUNT - Shelf,0,2022-07-06 14:22:00,COUNT,,Shelf,Shelf
390,7/2/2022 23:32:10,000000000949,RECOUNT - Cage,5,2022-07-02 23:32:10,COUNT,,Cage,Cage
389,7/2/2022 23:32:01,000000000932,RECOUNT - Cage,10,2022-07-02 23:32:01,COUNT,,Cage,Cage
388,7/2/2022 23:31:48,000000000925,RECOUNT - Cage,3,2022-07-02 23:31:48,COUNT,,Cage,Cage
387,7/2/2022 23:31:31,000000000444,RECOUNT - Cage,10,2022-07-02 23:31:31,COUNT,,Cage,Cage
386,7/2/2022 23:31:22,000000000734,RECOUNT - Cage,1,2022-07-02 23:31:22,COUNT,,Cage,Cage
385,7/2/2022 23:31:11,000000000710,RECOUNT - Cage,2,2022-07-02 23:31:11,COUNT,,Cage,Cage
384,7/2/2022 23:30:59,000000000703,RECOUNT - Cage,12,2022-07-02 23:30:59,COUNT,,Cage,Cage
383,7/2/2022 23:30:37,000000000697,RECOUNT - Cage,15,2022-07-02 23:30:37,COUNT,,Cage,Cage
382,7/2/2022 23:30:23,000000000680,RECOUNT - Cage,33,2022-07-02 23:30:23,COUNT,,Cage,Cage
381,7/2/2022 23:30:06,000000000673,RECOUNT - Cage,98,2022-07-02 23:30:06,COUNT,,Cage,Cage
380,7/2/2022 23:29:49,000000000666,RECOUNT - Cage,13,2022-07-02 23:29:49,COUNT,,Cage,Cage
379,7/2/2022 23:29:34,000000000642,RECOUNT - Cage,130,2022-07-02 23:29:34,COUNT,,Cage,Cage
378,7/2/2022 23:29:10,000000000635,RECOUNT - Cage,281,2022-07-02 23:29:10,COUNT,,Cage,Cage
377,7/2/2022 23:28:25,000000000628,RECOUNT - Cage,135,2022-07-02 23:28:25,COUNT,,Cage,Cage
376,7/2/2022 23:28:00,000000000611,RECOUNT - Cage,24,2022-07-02 23:28:00,COUNT,,Cage,Cage
375,7/2/2022 23:27:30,000000000598,RECOUNT - Cage,120,2022-07-02 23:27:30,COUNT,,Cage,Cage
374,7/2/2022 23:27:00,000000000611,RECOUNT - Shelf,0,2022-07-02 23:27:00,COUNT,,Shelf,Shelf
373,7/2/2022 23:26:46,000000000598,RECOUNT - Shelf,0,2022-07-02 23:26:46,COUNT,,Shelf,Shelf
372,7/2/2022 23:26:11,000000000611,RECOUNT - Shelf,24,2022-07-02 23:26:11,COUNT,,Shelf,Shelf
371,7/2/2022 23:25:36,000000000598,RECOUNT - Shelf,120,2022-07-02 23:25:36,COUNT,,Shelf,Shelf
370,7/2/2022 23:25:09,000000000581,RECOUNT - Shelf,80,2022-07-02 23:25:09,COUNT,,Shelf,Shelf
369,7/2/2022 23:24:42,000000000581,RECOUNT - Cage,1400,2022-07-02 23:24:42,COUNT,,Cage,Cage
368,7/2/2022 23:24:32,000000000604,RECOUNT - Cage,10,2022-07-02 23:24:32,COUNT,,Cage,Cage
367,7/2/2022 23:24:14,000000000604,RECOUNT - Shelf,1,2022-07-02 23:24:14,COUNT,,Shelf,Shelf
366,7/2/2022 23:23:41,000000000581,RECOUNT - Shelf,1,2022-07-02 23:23:41,COUNT,,Shelf,Shelf
